"Gebieden in Nederland 2021"
""
"","Subject"
"","Codes en namen van gemeenten|Code","Codes en namen van gemeenten|Naam","Codes en namen van gemeenten|Sortering naam","Lokaliseringen van gemeenten|Arbeidsmarktregio's|Code","Lokaliseringen van gemeenten|Arbeidsmarktregio's|Naam","Lokaliseringen van gemeenten|Arrondissementen (rechtsgebieden)|Code","Lokaliseringen van gemeenten|Arrondissementen (rechtsgebieden)|Naam","Lokaliseringen van gemeenten|COROP-gebieden|Code","Lokaliseringen van gemeenten|COROP-gebieden|Naam","Lokaliseringen van gemeenten|COROP-subgebieden|Code","Lokaliseringen van gemeenten|COROP-subgebieden|Naam","Lokaliseringen van gemeenten|COROP-plusgebieden|Code","Lokaliseringen van gemeenten|COROP-plusgebieden|Naam","Lokaliseringen van gemeenten|GGD-regio's|Code","Lokaliseringen van gemeenten|GGD-regio's|Naam","Lokaliseringen van gemeenten|Jeugdregio's|Code","Lokaliseringen van gemeenten|Jeugdregio's|Naam","Lokaliseringen van gemeenten|Kamer van Koophandel|Code","Lokaliseringen van gemeenten|Kamer van Koophandel|Naam","Lokaliseringen van gemeenten|Landbouwgebieden|Code","Lokaliseringen van gemeenten|Landbouwgebieden|Naam","Lokaliseringen van gemeenten|Landbouwgebieden (groepen)|Code","Lokaliseringen van gemeenten|Landbouwgebieden (groepen)|Naam","Lokaliseringen van gemeenten|Landsdelen|Code","Lokaliseringen van gemeenten|Landsdelen|Naam","Lokaliseringen van gemeenten|Provincies|Code","Lokaliseringen van gemeenten|Provincies|Naam","Lokaliseringen van gemeenten|Regionale eenheden|Code","Lokaliseringen van gemeenten|Regionale eenheden|Naam","Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Code","Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Naam","Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Code","Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Naam","Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Code","Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Naam","Lokaliseringen van gemeenten|Ressorten (rechtsgebieden)|Code","Lokaliseringen van gemeenten|Ressorten (rechtsgebieden)|Naam","Lokaliseringen van gemeenten|SubRES-regio’s|Code","Lokaliseringen van gemeenten|SubRES-regio’s|Naam","Lokaliseringen van gemeenten|Toeristengebieden|Code","Lokaliseringen van gemeenten|Toeristengebieden|Naam","Lokaliseringen van gemeenten|Veilig Thuis Regio's|Code","Lokaliseringen van gemeenten|Veilig Thuis Regio's|Naam","Lokaliseringen van gemeenten|Veiligheidsregio's|Code","Lokaliseringen van gemeenten|Veiligheidsregio's|Naam","Lokaliseringen van gemeenten|Zorgkantoorregio's|Code","Lokaliseringen van gemeenten|Zorgkantoorregio's|Naam","Grootte en stedelijkheid van gemeenten|Gemeentegrootte|Code","Grootte en stedelijkheid van gemeenten|Gemeentegrootte|Omschrijving","Grootte en stedelijkheid van gemeenten|Stedelijkheid|Code","Grootte en stedelijkheid van gemeenten|Stedelijkheid|Omschrijving","Statistische gegevens|Inwonertal","Statistische gegevens|Omgevingsadressendichtheid"
"Emmen","GM0114","Emmen","Emmen","AM03","Drenthe","AR05","NorthernNetherlands","CR08","SoutheastDrenthe","CS080","SoutheastDrenthe","CP0800","SoutheastDrenthe","GG0706","MunicipalHealthServiceDrenthe","JZ04","Drenthe","KK42","North","LB2205","DrenthePeatColoniesandHondsrug","LG02","PeatcoloniesandOldambt","LD01","NorthernNetherlands","PV22","Drenthe","RE01","NorthernNetherlands","ES03","Drenthe","MC08","SoutheastDrenthe","RA0102","Drenthe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0301","Drenthe","TR12","Groningen,FrisianandDrenthesandysoils","VT02","Drenthe","VR03","Drenthe","ZK06","Drenthe","6","100,000to150,000inhabitants","4","Notveryurban","107024","854"
"Enkhuizen","GM0388","Enkhuizen","Enkhuizen","AM15","NorthHollandNorth","AR02","NorthHolland","CR18","HeadofNorthHolland","CS180","HeadofNorthHolland","CP1800","HeadofNorthHolland","GG2707","MunicipalHealthServiceHollands-Noorden","JZ05","WestFriesland","KK41","Northwest","LB2705","WestFrieslandandsurroundings","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES15","NorthHollandNorth","MC22","WestFriesland","RA0614","NorthHollandNorth","RT11","AmsterdamCourtofAppeal","ET1503","WestFriesland","TR03","IJsselmeercoast","VT17","NorthHollandNorth","VR10","NorthHollandNorth","ZK18","NorthHollandNorth","3","10,000to20,000inhabitants","3","Moderatelyurban","18637","1388"
"Enschede","GM0153","Enschede","Enschede","AM05","Twente","AR06","Overijssel","CR12","Twente","CS120","Twente","CP1200","Twente","GG1106","GGDTwente","JZ14","Twente","KK43","East","LB2303","Twente","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV23","Overijssel","RE02","EastNetherlands","ES04","Twente","MC12","Twente","RA0205","Twente","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0401","Twente","TR11","Twente,SallandandVechtregion","VT19","Twente","VR05","Twente","ZK22","Twente","7","150,000to250,000inhabitants","2","Stronglyurban","159732","2187"
"Epe","GM0232","Epe","Epe","AM06","TriangleofCitiesandNorthwestVeluwe","AR03","Gelderland","CR13","Veluwe","CS130","Veluwe","CP1300","Veluwe","GG1413","GGDNorthandEastGelderland","JZ17","MiddleIJssel/EastVeluwe","KK43","East","LB2501","EasternVeluwe","LG05","CentralLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES12","Cleantech","MC11","TriangleofCities","RA0206","TriangleofCities&NorthVeluwe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1201","Cleantech","TR08","VeluweandVeluweedge","VT14","NorthandEastGelderland","VR06","NorthandEastGelderland","ZK03","Apeldoorn/Zutphen","4","20,000to50,000inhabitants","4","Notveryurban","33198","745"
"Ermelo","GM0233","Ermelo","Ermelo","AM06","TriangleofCitiesandNorthwestVeluwe","AR03","Gelderland","CR13","Veluwe","CS130","Veluwe","CP1300","Veluwe","GG1413","GGDNorthandEastGelderland","JZ12","NorthVeluwe","KK43","East","LB2507","WesternVeluwe","LG05","CentralLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES10","NorthVeluwe","MC17","NorthwestVeluwe","RA0206","TriangleofCities&NorthVeluwe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1001","NorthVeluwe","TR08","VeluweandVeluweedge","VT14","NorthandEastGelderland","VR06","NorthandEastGelderland","ZK32","Zwolle","4","20,000to50,000inhabitants","4","Notveryurban","27016","911"
"Etten-Leur","GM0777","Etten-Leur","Etten+Leur","AM25","WestBrabant","AR11","Zeeland-West-Brabant","CR33","WestNorthBrabant","CS330","WestNorthBrabant","CP3300","WestNorthBrabant","GG5206","GGDWest-Brabant","JZ36","WestBrabantWest","KK44","South","LB3005","WesternSandySoils","LG12","SouthwestBrabant","LD04","SouthNetherlands","PV30","NorthBrabant","RE08","Zeeland-West-Brabant","ES28","WestBrabant","MC34","WestBrabant","RA1323","WestBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2801","WestBrabant","TR13","WestandCentralBrabant","VT21","WestBrabant","VR20","CentralandWestBrabant","ZK25","WestBrabant","4","20,000to50,000inhabitants","2","Stronglyurban","43869","1670"
"The Frisian Marren","GM1940","TheFrisianMarren","FrisianMarrenThe","AM02","Friesland","AR05","NorthernNetherlands","CR05","SouthwestFriesland","CS050","SouthwestFriesland","CP0500","SouthwestFriesland","GG7206","GGDFriesland","JZ02","Friesland(Fryslân)","KK42","North","LB2102","PastureregioninFriesland","LG03","NorthernMeadowArea","LD01","NorthernNetherlands","PV21","Friesland","RE01","NorthernNetherlands","ES02","Friesland","MC05","South-WestFriesland","RA0103","Friesland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0201","Friesland","TR05","LakesinGroningen,Friesland,NW-Overijssel","VT04","Friesland","VR02","Friesland","ZK08","Friesland","5","50,000to100,000inhabitants","4","Notveryurban","51778","556"
"Geertruidenberg","GM0779","Geertruidenberg","Geertruidenberg","AM25","WestBrabant","AR11","Zeeland-West-Brabant","CR33","WestNorthBrabant","CS330","WestNorthBrabant","CP3300","WestNorthBrabant","GG5206","GGDWest-Brabant","JZ34","WestBrabantEast","KK44","South","LB3002","WesternLongStreet","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE08","Zeeland-West-Brabant","ES28","WestBrabant","MC34","WestBrabant","RA1323","WestBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2801","WestBrabant","TR13","WestandCentralBrabant","VT21","WestBrabant","VR20","CentralandWestBrabant","ZK25","WestBrabant","4","20,000to50,000inhabitants","3","Moderatelyurban","21770","1090"
"Geldrop-Mierlo","GM1771","Geldrop-Mierlo","Geldrop+Mierlo","AM32","Helmond-DePeel","AR10","EastBrabant","CR36","South-eastNorthBrabant","CS360","South-eastNorthBrabant","CP3600","South-eastNorthBrabant","GG5608","GGDBrabant-Southeast","JZ39","South-eastBrabant","KK44","South","LB3010","WesternPeelarea","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES26","EindhovenMetropolitanRegion","MC37","South-eastBrabant","RA1326","South-eastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2601","EindhovenMetropolitanRegion","TR13","WestandCentralBrabant","VT26","South-eastBrabant","VR22","BrabantSoutheast","ZK30","South-eastBrabant","4","20,000to50,000inhabitants","3","Moderatelyurban","40066","1369"
"Gemert-Bakel","GM1652","Gemert-Bakel","Gemert+Bakel","AM32","Helmond-DePeel","AR10","EastBrabant","CR36","South-eastNorthBrabant","CS360","South-eastNorthBrabant","CP3600","South-eastNorthBrabant","GG5608","GGDBrabant-Southeast","JZ39","South-eastBrabant","KK44","South","LB3010","WesternPeelarea","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES26","EindhovenMetropolitanRegion","MC37","South-eastBrabant","RA1326","South-eastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2601","EindhovenMetropolitanRegion","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT26","South-eastBrabant","VR22","BrabantSoutheast","ZK30","South-eastBrabant","4","20,000to50,000inhabitants","4","Notveryurban","30760","774"
"Gennep","GM0907","Gennep","Gennep","AM29","NorthLimburg","AR09","Limburg","CR37","NorthLimburg","CS370","NorthLimburg","CP3700","NorthLimburg","GG6011","GGDLimburg-Noord","JZ37","NorthLimburg","KK44","South","LB3101","NorthLimburg","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES29","NorthandCentralLimburg","MC38","Limburg-NorthRegion","RA1427","NorthandCentralLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET2901","NorthandCentralLimburg","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT13","NorthandCentralLimburg","VR23","Limburg-North","ZK16","Nijmegen","3","10,000to20,000inhabitants","4","Notveryurban","17035","644"
"Gilze and Rijen","GM0784","GilzeandRijen","GilzeandRijen","AM26","CentralBrabant","AR11","Zeeland-West-Brabant","CR34","CentralNorthBrabant","CS340","CentralNorthBrabant","CP3400","CentralNorthBrabant","GG5406","GGDHeartforBrabant","JZ35","CentralBrabant","KK44","South","LB3008","CentralNorthBrabant","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE08","Zeeland-West-Brabant","ES25","HeartofBrabant","MC35","CentralBrabant","RA1324","CentralBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2501","HeartofBrabant","TR13","WestandCentralBrabant","VT15","NorthBrabantCentral","VR20","CentralandWestBrabant","ZK12","CentralBrabant","4","20,000to50,000inhabitants","3","Moderatelyurban","26723","1088"
"Goeree-Overflakkee","GM1924","Goeree-Overflakkee","Goeree+Overflakkee","AM22","Rhineestuary","AR08","Rotterdam","CR29","GreaterRhineEstuary","CS292","OtherGreaterRijnmond","CP2920","OtherGreaterRijnmond","GG4607","MunicipalHealthServiceRotterdam-Rijnmond","JZ29","Rhineestuary","KK45","Southwest","LB2803","Goeree-Overflakkee","LG11","SouthwesternArableFarmingArea","LD03","WestNetherlands","PV28","SouthHolland","RE07","Rotterdam","ES19","Goeree-Overflakkee","MC29","Rhineestuary","RA0919","Rhineestuary","RT13","TheHagueCourtofAppeal","ET1901","Goeree-Overflakkee","TR02","NorthSeaseasideresorts","VT18","Rotterdam-Rijnmond","VR17","Rotterdam-Rijnmond","ZK29","SouthHollandIslands","5","50,000to100,000inhabitants","4","Notveryurban","50589","631"
"Goes","GM0664","Goes","Goes","AM24","Zealand","AR11","Zeeland-West-Brabant","CR32","OtherZeeland","CS320","OtherZeeland","CP3200","OtherZeeland","GG5006","GGDZeeland","JZ38","Zealand","KK45","Southwest","LB2902","WalcherenandSouthBeveland","LG11","SouthwesternArableFarmingArea","LD03","WestNetherlands","PV29","Zealand","RE08","Zeeland-West-Brabant","ES24","Zealand","MC31","EasternScheldtregion","RA1222","Zealand","RT14","CourtofAppeal's-Hertogenbosch","ET2401","Zealand","TR04","Deltaarea","VT23","Zealand","VR19","Zealand","ZK27","Zealand","4","20,000to50,000inhabitants","3","Moderatelyurban","38594","1348"
"Goirle","GM0785","Goirle","Goirle","AM26","CentralBrabant","AR11","Zeeland-West-Brabant","CR34","CentralNorthBrabant","CS340","CentralNorthBrabant","CP3400","CentralNorthBrabant","GG5406","GGDHeartforBrabant","JZ35","CentralBrabant","KK44","South","LB3007","TheKempen","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE08","Zeeland-West-Brabant","ES25","HeartofBrabant","MC35","CentralBrabant","RA1324","CentralBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2501","HeartofBrabant","TR13","WestandCentralBrabant","VT15","NorthBrabantCentral","VR20","CentralandWestBrabant","ZK12","CentralBrabant","4","20,000to50,000inhabitants","3","Moderatelyurban","23952","1181"
"Gooise Lakes","GM1942","GooiseLakes","GooiseLakes","AM12","GooiandVechtregion","AR04","CentralNetherlands","CR24","TheGooiandVechtregion","CS240","TheGooiandVechtregion","CP2400","TheGooiandVechtregion","GG3606","MunicipalHealthServiceGooiandVechtstreek","JZ16","GooiandVechtregion","KK41","Northwest","LB2707","TheGeinandGooiland","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV27","NorthHolland","RE03","CentralNetherlands","ES16","NorthHollandSouth","MC20","GooiandVechtregion","RA0511","GooiandVechtregion","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1604","GooiandVechtregion","TR07","UtrechtHillRidgeand'tGooi","VT07","GooiandVechtregion","VR14","GooiandVechtregion","ZK21","TheGooi","5","50,000to100,000inhabitants","2","Stronglyurban","58524","1911"
"Gorinchem","GM0512","Gorinchem","Gorinchem","AM35","Gorinchem","AR08","Rotterdam","CR30","SoutheastSouthHolland","CS300","SoutheastSouthHolland","CP3002","OtherSoutheastSouthHolland","GG4816","Health&YouthServiceZHZ","JZ31","SouthHollandSouth","KK45","Southwest","LB2807","AlblasserwaardandVijfherenlanden","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV28","SouthHolland","RE07","Rotterdam","ES17","Alblasserwaard","MC30","SouthHolland-South","RA1121","SouthHollandSouth","RT13","TheHagueCourtofAppeal","ET1701","Alblasserwaard","TR17","OtherNetherlands","VT24","SouthHolland-South","VR18","SouthHolland-South","ZK24","Valuesland","4","20,000to50,000inhabitants","2","Stronglyurban","37410","1735"
"Gouda","GM0513","Gouda","Gouda","AM20","CentralHolland","AR07","TheHague","CR28","EastSouthHolland","CS280","EastSouthHolland","CP2800","EastSouthHolland","GG4506","MunicipalHealthServiceHollands-Midden","JZ27","CentralHolland","KK45","Southwest","LB2806","KrimpenerwaardandEasternRhineland","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES22","CentralHolland","MC27","SouthHollandEast","RA0818","Rhineregion","RT13","TheHagueCourtofAppeal","ET2201","CentralHolland","TR17","OtherNetherlands","VT10","Hollands-Middle","VR16","Hollands-Middle","ZK13","CentralHolland","5","50,000to100,000inhabitants","1","Verystrongurban","73681","2540"
"Grave","GM0786","Grave","Grave","AM27","NortheastBrabant","AR10","EastBrabant","CR35","NortheastNorthBrabant","CS352","OtherNortheastNorthBrabant","CP3520","OtherNortheastNorthBrabant","GG5406","GGDHeartforBrabant","JZ33","NortheastBrabant","KK44","South","LB3009","MaaskantandLandvanCuijk","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES27","NortheastBrabant","MC36","North-EastBrabant","RA1325","NortheastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2701","NortheastBrabant","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT16","BrabantNortheast","VR21","NorthBrabant","ZK19","NortheastBrabant","3","10,000to20,000inhabitants","4","Notveryurban","12486","639"
"The Hague (municipality)","GM0518","TheHague","TheHagueTheHague","AM21","TheHagueregion","AR07","TheHague","CR26","AgglomerationofTheHague","CS260","AgglomerationofTheHague","CP2601","Aggl.TheHagueexcl.Zoetermeer","GG7014","MunicipalHealthServiceTheHague","JZ24","TheHagueregion","KK45","Southwest","LB2809","WestlandandSouthHollandPolders","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES23","Rotterdam/TheHague","MC28","TheHague/Westland","RA1020","TheHagueregionandNewWaterwayNorth","RT13","TheHagueCourtofAppeal","ET2301","Rotterdam/TheHague","TR16","4majorcitiesexcludingNorthSearesorts","VT09","TheHagueregion","VR15","TheHagueregion","ZK10","TheHagueregion","8","250,000inhabitantsormore","1","Verystrongurban","548320","4994"
"Groningen (municipality)","GM0014","Groningen","Groningen","AM01","Groningen","AR05","NorthernNetherlands","CR03","OtherGroningen","CS030","OtherGroningen","CP0300","OtherGroningen","GG0111","GGDGroningen","JZ01","Groningen","KK42","North","LB2002","CentralPastureAreainGroningen","LG03","NorthernMeadowArea","LD01","NorthernNetherlands","PV20","Groningen","RE01","NorthernNetherlands","ES01","Groningen","MC03","CentralandWesternGroningen","RA0101","Groningen","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0101","Groningen","TR17","OtherNetherlands","VT08","Groningen","VR01","Groningen","ZK09","Groningen","7","150,000to250,000inhabitants","1","Verystrongurban","233273","3312"
"Gulpen-Wittem","GM1729","Gulpen-Wittem","Gulpen+Wittem","AM30","SouthLimburg","AR09","Limburg","CR39","SouthLimburg","CS390","SouthLimburg","CP3900","SouthLimburg","GG6106","GGDSouthLimburg","JZ41","SouthLimburg","KK44","South","LB3102","SouthLimburg","LG14","SouthLimburg","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES30","SouthLimburg","MC39","SouthLimburgRegion","RA1428","SouthLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET3002","MaastrichtHillCountry","TR15","SouthLimburg","VT25","SouthLimburg","VR24","Limburg-South","ZK31","SouthLimburg","3","10,000to20,000inhabitants","5","Non-urban","14206","289"
"Haaksbergen","GM0158","Haaksbergen","Haaksbergen","AM05","Twente","AR06","Overijssel","CR12","Twente","CS120","Twente","CP1200","Twente","GG1106","GGDTwente","JZ14","Twente","KK43","East","LB2303","Twente","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV23","Overijssel","RE02","EastNetherlands","ES04","Twente","MC12","Twente","RA0205","Twente","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0401","Twente","TR11","Twente,SallandandVechtregion","VT19","Twente","VR05","Twente","ZK22","Twente","4","20,000to50,000inhabitants","3","Moderatelyurban","24229","1044"
"Haarlem","GM0392","Haarlem","Haarlem","AM37","SouthKennemerlandandIJmond","AR02","NorthHolland","CR21","HaarlemAgglomeration","CS210","HaarlemAgglomeration","CP2100","HaarlemAgglomeration","GG3109","MunicipalHealthServiceKennemerland","JZ11","SouthKennemerland","KK41","Northwest","LB2708","Kennemerland","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES16","NorthHollandSouth","MC25","WestKennemerland","RA0717","Amstelland,KennemerlandandMeerlanden","RT11","AmsterdamCourtofAppeal","ET1602","IJmond-SouthKennemerland","TR17","OtherNetherlands","VT12","Kennemerland","VR12","Kennemerland","ZK11","Kennemerland","7","150,000to250,000inhabitants","1","Verystrongurban","162543","3591"
"Haarlemmermeer","GM0394","Haarlemmermeer","Haarlemmermeer","AM18","GreaterAmsterdam","AR02","NorthHolland","CR23","GreaterAmsterdam","CS232","OtherGreaterAmsterdam","CP2323","Haarlemmermeerandsurroundings","GG3109","MunicipalHealthServiceKennemerland","JZ15","Haarlemmermeer","KK41","Northwest","LB2702","Haarlemmermeer","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES16","NorthHollandSouth","MC21","AmsterdamAgglomeration","RA0717","Amstelland,KennemerlandandMeerlanden","RT11","AmsterdamCourtofAppeal","ET1605","Haarlemmermeer","TR17","OtherNetherlands","VT12","Kennemerland","VR12","Kennemerland","ZK01","AmstellandandDeMeerlanden","7","150,000to250,000inhabitants","2","Stronglyurban","157789","1532"
"Halderberge","GM1655","Halderberge","Halderberge","AM25","WestBrabant","AR11","Zeeland-West-Brabant","CR33","WestNorthBrabant","CS330","WestNorthBrabant","CP3300","WestNorthBrabant","GG5206","GGDWest-Brabant","JZ36","WestBrabantWest","KK44","South","LB3005","WesternSandySoils","LG12","SouthwestBrabant","LD04","SouthNetherlands","PV30","NorthBrabant","RE08","Zeeland-West-Brabant","ES28","WestBrabant","MC34","WestBrabant","RA1323","WestBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2801","WestBrabant","TR13","WestandCentralBrabant","VT21","WestBrabant","VR20","CentralandWestBrabant","ZK25","WestBrabant","4","20,000to50,000inhabitants","4","Notveryurban","30430","758"
"Hardenberg","GM0160","Hardenberg","Hardenberg","AM36","Zwolleregion","AR06","Overijssel","CR10","NorthOverijssel","CS100","NorthOverijssel","CP1000","NorthOverijssel","GG1009","GGDIJsselland","JZ07","IJsselland","KK43","East","LB2302","NortheastOverijssel","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV23","Overijssel","RE02","EastNetherlands","ES05","WestOverijssel","MC10","IJssel-Vecht","RA0204","Zwolleregion","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0501","WestOverijssel","TR11","Twente,SallandandVechtregion","VT11","IJsselland","VR04","IJsselland","ZK32","Zwolle","5","50,000to100,000inhabitants","4","Notveryurban","61357","565"
"Harderwijk","GM0243","Harderwijk","Harderwijk","AM06","TriangleofCitiesandNorthwestVeluwe","AR03","Gelderland","CR13","Veluwe","CS130","Veluwe","CP1300","Veluwe","GG1413","GGDNorthandEastGelderland","JZ12","NorthVeluwe","KK43","East","LB2507","WesternVeluwe","LG05","CentralLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES10","NorthVeluwe","MC17","NorthwestVeluwe","RA0206","TriangleofCities&NorthVeluwe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1001","NorthVeluwe","TR03","IJsselmeercoast","VT14","NorthandEastGelderland","VR06","NorthandEastGelderland","ZK32","Zwolle","4","20,000to50,000inhabitants","2","Stronglyurban","48726","1551"
"Hardinxveld-Giessendam","GM0523","Hardinxveld-Giessendam","Hardinxveld+Giessendam","AM23","Drechtsteden","AR08","Rotterdam","CR30","SoutheastSouthHolland","CS300","SoutheastSouthHolland","CP3001","Drechtsteden","GG4816","Health&YouthServiceZHZ","JZ31","SouthHollandSouth","KK45","Southwest","LB2807","AlblasserwaardandVijfherenlanden","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV28","SouthHolland","RE07","Rotterdam","ES18","Drechtsteden","MC30","SouthHolland-South","RA1121","SouthHollandSouth","RT13","TheHagueCourtofAppeal","ET1801","Drechtsteden","TR17","OtherNetherlands","VT24","SouthHolland-South","VR18","SouthHolland-South","ZK24","Valuesland","3","10,000to20,000inhabitants","4","Notveryurban","18413","988"
"Harlingen","GM0072","Harlingen","Harlingen","AM02","Friesland","AR05","NorthernNetherlands","CR04","NorthFriesland","CS040","NorthFriesland","CP0400","NorthFriesland","GG7206","GGDFriesland","JZ02","Friesland(Fryslân)","KK42","North","LB2101","NorthernFriesland","LG01","BouwhoekandHogeland","LD01","NorthernNetherlands","PV21","Friesland","RE01","NorthernNetherlands","ES02","Friesland","MC04","FrieslandNorth","RA0103","Friesland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0201","Friesland","TR17","OtherNetherlands","VT04","Friesland","VR02","Friesland","ZK08","Friesland","3","10,000to20,000inhabitants","3","Moderatelyurban","15807","1086"
"Hattem","GM0244","Hattem","Hattem","AM36","Zwolleregion","AR03","Gelderland","CR13","Veluwe","CS130","Veluwe","CP1300","Veluwe","GG1413","GGDNorthandEastGelderland","JZ17","MiddleIJssel/EastVeluwe","KK43","East","LB2501","EasternVeluwe","LG05","CentralLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES10","NorthVeluwe","MC10","IJssel-Vecht","RA0206","TriangleofCities&NorthVeluwe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1001","NorthVeluwe","TR08","VeluweandVeluweedge","VT14","NorthandEastGelderland","VR06","NorthandEastGelderland","ZK32","Zwolle","3","10,000to20,000inhabitants","4","Notveryurban","12228","822"
"Heemskerk","GM0396","Heemskerk","Heemskerk","AM37","SouthKennemerlandandIJmond","AR02","NorthHolland","CR20","IJmond","CS200","IJmond","CP2000","IJmond","GG3109","MunicipalHealthServiceKennemerland","JZ10","IJmond(CentralKennemerland)","KK41","Northwest","LB2708","Kennemerland","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES16","NorthHollandSouth","MC25","WestKennemerland","RA0717","Amstelland,KennemerlandandMeerlanden","RT11","AmsterdamCourtofAppeal","ET1602","IJmond-SouthKennemerland","TR02","NorthSeaseasideresorts","VT12","Kennemerland","VR12","Kennemerland","ZK11","Kennemerland","4","20,000to50,000inhabitants","2","Stronglyurban","39191","2346"
"Heemstede","GM0397","Heemstede","Heemstede","AM37","SouthKennemerlandandIJmond","AR02","NorthHolland","CR21","HaarlemAgglomeration","CS210","HaarlemAgglomeration","CP2100","HaarlemAgglomeration","GG3109","MunicipalHealthServiceKennemerland","JZ11","SouthKennemerland","KK41","Northwest","LB2708","Kennemerland","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES16","NorthHollandSouth","MC25","WestKennemerland","RA0717","Amstelland,KennemerlandandMeerlanden","RT11","AmsterdamCourtofAppeal","ET1602","IJmond-SouthKennemerland","TR17","OtherNetherlands","VT12","Kennemerland","VR12","Kennemerland","ZK11","Kennemerland","4","20,000to50,000inhabitants","2","Stronglyurban","27545","1781"
